iter	Passed	Remaining
795	1002	256
796	1004	255
797	1006	254
798	1008	253
799	1009	252
800	1010	250
801	1011	249
802	1011	248
803	1012	246
804	1013	245
805	1014	244
806	1015	242
807	1016	241
808	1017	240
809	1018	238
810	1018	237
811	1019	236
812	1020	234
813	1023	233
814	1023	232
815	1024	231
816	1026	229
817	1027	228
818	1028	227
819	1029	225
820	1029	224
821	1030	223
822	1031	221
823	1032	220
824	1033	219
825	1034	217
826	1035	216
827	1037	215
828	1038	214
829	1038	212
830	1039	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
835	1044	204
836	1045	203
837	1045	202
838	1046	200
839	1047	199
840	1048	198
841	1049	196
842	1051	195
843	1052	194
844	1053	193
845	1054	191
846	1055	190
847	1056	189
848	1056	187
849	1057	186
850	1058	185
851	1059	184
852	1060	182
853	1061	181
854	1062	180
855	1063	178
856	1064	177
857	1065	176
858	1067	175
859	1068	173
860	1068	172
861	1069	171
862	1070	169
863	1071	168
864	1072	167
865	1073	166
866	1074	164
867	1074	163
868	1075	162
869	1076	160
870	1077	159
871	1078	158
872	1080	157
873	1081	155
874	1082	154
875	1084	153
876	1085	152
877	1085	150
878	1086	149
879	1087	148
880	1088	147
881	1089	145
882	1090	144
883	1091	143
884	1092	141
885	1095	140
886	1096	139
887	1097	138
888	1098	137
889	1098	135
890	1099	134
891	1100	133
892	1101	131
893	1102	130
894	1103	129
895	1104	128
896	1105	126
897	1106	125
898	1107	124
899	1111	123
900	1112	122
901	1113	120
902	1114	119
903	1114	118
904	1115	117
905	1116	115
906	1117	114
907	1118	113
908	1119	112
909	1120	110
910	1120	109
911	1121	108
912	1126	107
913	1127	106
914	1128	104
915	1130	103
916	1131	102
917	1132	101
918	1133	99
919	1134	98
920	1135	97
921	1136	96
922	1139	95
923	1140	93
924	1141	92
925	1142	91
926	1143	90
927	1144	88
928	1145	87
929	1147	86
930	1148	85
931	1149	83
932	1150	82
933	1151	81
934	1154	80
935	1155	78
936	1156	77
937	1157	76
938	1158	75
939	1159	74
940	1160	72
941	1161	71
942	1162	70
943	1163	69
944	1165	67
945	1166	66
946	1169	65
947	1170	64
948	1171	62
949	1173	61
950	1174	60
951	1175	59
952	1176	58
953	1178	56
954	1179	55
955	1180	54
956	1181	53
957	1184	51
958	1185	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1190	44
964	1191	43
965	1192	41
966	1194	40
967	1195	39
968	1197	38
969	1198	37
970	1200	35
971	1201	34
972	1202	33
973	1203	32
974	1204	30
975	1205	29
976	1206	28
977	1208	27
978	1209	25
979	1210	24
980	1212	23
981	1213	22
982	1214	21
983	1215	19
984	1216	18
985	1217	17
986	1218	16
987	1220	14
988	1221	13
989	1222	12
990	1223	11
991	1226	9
992	1227	8
993	1228	7
994	1229	6
995	1230	4
996	1231	3
997	1232	2
998	1234	1
999	1235	0
